sessionid,query_desc,total,time,categorycode,campo_utilizado,sintaxis,cant_campos_utilizados,problema_detectado
c8df3b99ce677d953e41fe6689a9d7b2,"kw,wrdl: swebok, ",0,2022-12-12 14:35:44,DOCENTE,kw,swebok,1,no hay resultados
141ee0c3d547fb491eadcecfa09a2d01,"callnum,wrdl: matemática, ",0,2023-01-11 18:45:06,BIBLIOTECA,callnum,matemática,1,campo incorrecto
990428d58a9d8b4f8c45babae7d80bae,"kw,wrdl: Netther, ",0,2023-02-02 10:14:15,BIBLIOTECA,kw,Netther,1,error de tipeo
efb64e5db60454c64991f9196de416d3,"kw,wrdl: Data mining metodos y conocimientos, ",0,2023-03-14 21:02:26,BIBLIOTECA,kw,Data mining metodos y conocimientos,1,error de tipeo
07cdd4a626e2fa0cce92ef489453ec61,"kw,wrdl: nxp, ",0,2023-03-17 02:58:06,BIBLIOTECA,kw,nxp,1,error de tipeo
28dffc31047292de54f07141c51cda00,"kw,wrdl: Serway, R., Física, Tomo I, Mc Graw-Hill, México, 1998., ",0,2023-03-20 22:37:14,BIBLIOTECA,kw,Serway,1,error de tipeo
24c7a3f66f4cc8370e084f82cb5e4e25,"kw,wrdl: goldeman, ",0,2023-03-28 13:27:43,BIOINGENIE,kw,goldeman,1,error de tipeo
24c7a3f66f4cc8370e084f82cb5e4e25,"au,wrdl: goldeman, ",0,2023-03-28 13:28:03,BIOINGENIE,au,goldeman,1,error de tipeo
8bf804f05ec533e14a79cb107cd7718e,"su,wrdl: genética and kw,wrdl: ciencia que ladra, ",0,2023-03-28 14:04:55,BIBLIOTECA,"kw, su","genética and kw, ciencia que ladra",2,combinacion de campos incorrecta
40fb9bd7f72a2dae819b5746ea8b91b6,"ti:investigación de operaciones, ",0,2023-03-30 16:26:46,BIBLIOTECA,ti,investigación de operaciones,1,no hay resultados
a02589ff9735c9be29d249a305c0ba8d,"au,wrdl: boylestand, ",0,2023-04-12 10:43:46,BIBLIOTECA,au,boylestand,1,error de tipeo
8bf8d229219ea353b26cc955107420ce,"kw,wrdl: semansky, ",0,2023-04-13 11:21:21,BIBLIOTECA,kw,semansky,1,error de tipeo
be98b7356351b18ba0b499cc8dd24e3f,"kw,wrdl: milesi, ",0,2023-04-25 08:41:28,BIBLIOTECA,kw,milesi,1,no hay resultados
be98b7356351b18ba0b499cc8dd24e3f,"kw,wrdl: milesi, ",0,2023-04-25 08:42:28,BIBLIOTECA,kw,milesi,1,no hay resultados
45a656c0845ffb97524475e526ce55d6,"kw,wrdl: crossman, ",0,2023-04-27 11:16:00,BIBLIOTECA,kw,crossman,1,no hay resultados
d2557d77b8fe1ac4f906d8c47743444a,", ",0,2023-04-28 12:31:00,BIBLIOTECA,,,0,usuario no ingreso nada
12be6af04af4e2d345b2ee53d4f8ab56,"kw,wrdl: hugh young , roger feedman, ",0,2023-05-04 08:03:00,BIBLIOTECA,kw,hugh young ,1,error de tipeo
12be6af04af4e2d345b2ee53d4f8ab56,"kw,wrdl: hugh young , roger feedman, ",0,2023-05-04 08:07:32,BIBLIOTECA,kw,hugh young ,1,error de tipeo
9a3e48522b1a4e2fbe22a50ed4c2d2bc,"au,wrdl: prometheus, ",0,2023-05-10 16:41:00,BIBLIOTECA,au,prometheus,1,campo incorrecto
bb58490c1b22a91d4f61a176f0c421f7,"kw,wrdl: stewarts, ",0,2023-05-22 12:29:35,BIBLIOTECA,kw,stewarts,1,error de tipeo
62f90ec820372be3f2d8cd9d088ac36c,"kw,wrdl: bechetti, ",0,2023-05-22 08:42:00,BIBLIOTECA,kw,bechetti,1,error de tipeo
ac688f4b0d0a9f6b342e45e2a438bcc8,"callnum,wrdl: Cálculo, ",0,2023-05-29 19:15:00,BIBLIOTECA,callnum,Cálculo,1,campo incorrecto
1d19aa1214f8bc840e784167195e0148,"kw,wrdl: SILVERTON, ",0,2023-05-31 12:45:33,BIBLIOTECA,kw,SILVERTON,1,error de tipeo
c87187e18d90b2d94c33f40047c2671a,"au,wrdl: WALLPOLE, MYERS, MYERS, YE:, ",0,2023-08-08 10:59:34,BIBLIOTECA,au,WALLPOLE,1,error de tipeo
c87187e18d90b2d94c33f40047c2671a,"au,wrdl: WALLPOLE, MYERS, MYERS, YE:, ",0,2023-08-08 10:59:34,BIBLIOTECA,au,WALLPOLE,1,error de tipeo
c87187e18d90b2d94c33f40047c2671a,"au,wrdl: WALLPOLE, MYERS, MYERS, YE, ",0,2023-08-08 10:59:37,BIBLIOTECA,au,WALLPOLE,1,error de tipeo
c87187e18d90b2d94c33f40047c2671a,"au,wrdl: WALLPOLE, MYERS, ",0,2023-08-08 10:59:44,BIBLIOTECA,au,WALLPOLE,1,error de tipeo
c87187e18d90b2d94c33f40047c2671a,"au,wrdl: WALLPOLE, ",0,2023-08-08 10:59:48,BIBLIOTECA,au,WALLPOLE,1,error de tipeo
75176c382cfd7080a21ed97de608cb98,"kw,wrdl: renovar prestamo de libro, ",0,2023-08-22 08:21:17,BIBLIOTECA,kw,renovar prestamo de libro,1,lugar incorrecto de consulta
75176c382cfd7080a21ed97de608cb98,"kw,wrdl: renovar prestamo de libro, ",0,2023-08-22 08:21:34,BIBLIOTECA,kw,renovar prestamo de libro,1,lugar incorrecto de consulta
758a8d522d753a1429411b62fbb80806,"kw,wrdl: IRAM 9422}, ",0,2023-08-22 13:24:23,BIBLIOTECA,kw,IRAM 9422},1,error de tipeo
758a8d522d753a1429411b62fbb80806,"kw,wrdl: IRAM 9422, ",0,2023-08-22 13:24:26,BIBLIOTECA,kw,IRAM 9422,1,error de tipeo
dbf17e7c89e5873e63eb41678de2d2ce,"kw,wrdl: Saladin, ",0,2023-08-23 12:18:53,BIBLIOTECA,kw,Saladin,1,no hay resultados
4a1a5cd0bdb42a198b697639f06231be,"kw,wrdl: fluidos frigorificos, ",0,2023-08-24 23:32:37,BIBLIOTECA,kw,fluidos frigorificos,1,no hay resultados
b8d300b3708d60c1c00c73b0efec8f45,"kw,wrdl: schiling, ",0,2023-08-25 10:33:49,BIBLIOTECA,kw,schiling,1,error de tipeo
99683f5bdb1ce2dc47f954efd1b9af78,"kw,wrdl: Laterjet, ",0,2023-08-26 17:05:42,BIBLIOTECA,kw,Laterjet,1,no hay resultados
2b143bddb834890006a7c7f629640eed,"callnum,wrdl: comportamiento físico de biomateriales, ",0,2023-09-05 11:51:00,BIBLIOTECA,callnum,comportamiento físico de biomateriales,1,campo incorrecto
2b143bddb834890006a7c7f629640eed,"callnum,wrdl: biomateriales, ",0,2023-09-05 11:53:00,BIBLIOTECA,callnum,biomateriales,1,campo incorrecto
dd912fb210f05a0f494ac0d815930418,"kw,wrdl: probabilidad y aplicaciones estadisticas para ingenieria y ciencia, ",0,2023-09-06 14:07:00,BIBLIOTECA,kw,probabilidad y aplicaciones estadisticas para ingenieria y ciencia,1,no hay resultados
dd912fb210f05a0f494ac0d815930418,"kw,wrdl: wallpole, ",0,2023-09-06 15:12:00,BIBLIOTECA,kw,wallpole,1,error de tipeo
bfd1251512a79d19353eb19e4dd5df9d,"kw,wrdl: ísica universitaria : volumen 2, ",0,2023-09-07 13:02:00,BIBLIOTECA,kw,ísica universitaria : volumen 2,1,error de tipeo
bfd1251512a79d19353eb19e4dd5df9d,"kw,wrdl: ísica universitaria 2, ",0,2023-09-07 13:02:00,BIBLIOTECA,kw,ísica universitaria 2,1,error de tipeo
bfd1251512a79d19353eb19e4dd5df9d,"kw,wrdl: ísica universitaria, ",0,2023-09-07 13:02:00,BIBLIOTECA,kw,ísica universitaria,1,error de tipeo
bfd1251512a79d19353eb19e4dd5df9d,"kw,wrdl: ísica universitaria 2, ",0,2023-09-07 13:03:00,BIBLIOTECA,kw,ísica universitaria 2,1,error de tipeo
5b5db9e19a10326590ac51121b21c7c3,"kw,wrdl: anaromia humana, ",0,2023-09-13 22:38:06,BIBLIOTECA,kw,anaromia humana,1,error de tipeo
